audio_file,lang,text
catia_course_hi.wav,hi,"CATIA V5 Dassault Systemes का CAD सॉफ्टवेयर है, जो ऑटोमोटिव और एयरोस्पेस डिज़ाइन में व्यापक रूप से उपयोग होता है। यह कोर्स 3-6 महीने का है, बैच साइज़ 10-15 छात्रों का है, इसमें फाउंडेशन, पार्ट डिज़ाइन, असेंबली डिज़ाइन, सरफेस डिज़ाइन और ड्राफ्टिंग मॉड्यूल शामिल हैं, और अंत में इंडस्ट्री-मान्यता प्राप्त सर्टिफिकेट मिलता है।"
biw_course_hi.wav,hi,"BIW फिक्सचर डिज़ाइन 3 महीने का नौकरी-उन्मुख डोमेन ट्रेनिंग प्रोग्राम है, जिसमें ऑटोमोटिव बॉडी-इन-व्हाइट फिक्सचर डिज़ाइन, 3D मॉडलिंग, सिमुलेशन, वेल्डिंग गन इंटीग्रेशन और GD&T ड्रॉइंग बनाना शामिल है। इसमें 100 लेक्चर हैं, बैच साइज़ 5 छात्रों का है, और यह BIW डिज़ाइन इंजीनियर व फिक्सचर डिज़ाइन स्पेशलिस्ट जैसी भूमिकाओं की ओर ले जाता है।"
interior_plastic_course_hi.wav,hi,"यह 3 महीने का डोमेन ट्रेनिंग प्रोग्राम है जिसमें इंटीरियर ट्रिम डिज़ाइन, मटीरियल सिलेक्शन, इंजेक्शन मोल्डिंग और प्लास्टिक पार्ट्स के लिए DFM शामिल है। इसमें 90 लेक्चर, 5 छात्रों का बैच, लाइव OEM प्रोजेक्ट्स हैं, और यह इंटीरियर ट्रिम डिज़ाइन इंजीनियर व प्लास्टिक कंपोनेंट डिज़ाइनर जैसी भूमिकाओं के लिए तैयार करता है।"
solidworks_course_hi.wav,hi,"SolidWorks कोर्स 1 महीने का है, सभी स्तरों के लिए उपयुक्त है, और इसमें 60 लेक्चर हैं जो SolidWorks सॉफ्टवेयर का उपयोग करके 3D मॉडलिंग और डिज़ाइन की बुनियादी बातें विशेषज्ञों द्वारा सिखाई जाती हैं।"
ugnx_course_hi.wav,hi,"UG NX कोर्स 1 महीने का है, सभी स्तरों के लिए उपयुक्त है, इसमें 60 लेक्चर हैं और मैकेनिकल डिज़ाइन में उपयोग होने वाले UG NX CAD प्लेटफ़ॉर्म पर व्यावहारिक प्रशिक्षण दिया जाता है।"
industry4_program_hi.wav,hi,"यह भारत का पहला ROS2-आधारित डिजिटल ट्विन रोबोटिक्स ट्रेनिंग प्रोग्राम है। इसमें सिमुलेशन-फर्स्ट अप्रोच अपनाया गया है, जिसमें ROS2 की बुनियादी बातें, मोबाइल रोबोट मोशन, और 6-DOF इंडस्ट्रियल रोबोटिक आर्म ट्रेनिंग शामिल है, बिना किसी वास्तविक हार्डवेयर इंटीग्रेशन के, ताकि छात्र सुरक्षित रूप से रोबोटिक्स की बुनियादी बातें सीख सकें जो उद्योग के किसी भी रोबोट पर लागू होती हैं।"
placement_rate_hi.wav,hi,"M CAD Solutions की प्लेसमेंट दर 98% है, 5000 से अधिक छात्रों को प्रशिक्षित और प्लेस किया जा चुका है, और ऑटोमोटिव व मैन्युफैक्चरिंग सेक्टर में 150-200+ पार्टनर कंपनियों का नेटवर्क है।"
placement_partners_hi.wav,hi,"पार्टनर कंपनियों में Mahindra, Tata Technologies, L&T Technology Services, Kohler, Robtech Automation, Rheomold, Faith Automation, DIFACTO Robotics और ऑटोमोटिव व मैन्युफैक्चरिंग सेक्टर की कई अन्य कंपनियां शामिल हैं।"
placement_process_hi.wav,hi,"प्लेसमेंट प्रक्रिया में 6 चरण हैं: प्रोफ़ाइल बिल्डिंग (रिज्यूमे/पोर्टफोलियो), स्किल असेसमेंट, मॉक इंटरव्यू के साथ इंटरव्यू तैयारी, पार्टनर कंपनियों से कनेक्ट, प्लेसमेंट ड्राइव, और प्लेसमेंट के बाद करियर ग्रोथ सपोर्ट।"
why_choose_hi.wav,hi,"M CAD Solutions 15+ वर्षों का उद्योग अनुभव, प्लेसमेंट सपोर्ट के साथ नौकरी-उन्मुख कोर्स, प्रोजेक्ट-आधारित प्रशिक्षण, छोटे बैच साइज़, सेशन रिकॉर्डिंग तक लाइफटाइम एक्सेस, और 98% प्लेसमेंट दर के साथ सिद्ध ट्रैक रिकॉर्ड प्रदान करता है।"
batch_size_hi.wav,hi,"BIW फिक्सचर डिज़ाइन और ऑटोमोटिव इंटीरियर प्लास्टिक ट्रिम्स जैसे डोमेन ट्रेनिंग प्रोग्राम में सिर्फ 5 छात्रों का बैच साइज़ होता है, जिससे व्यक्तिगत ध्यान सुनिश्चित होता है।"
certificate_hi.wav,hi,"हां, M CAD Solutions अपने सभी CAD और डोमेन ट्रेनिंग कोर्स के लिए इंडस्ट्री-मान्यता प्राप्त पूर्णता प्रमाणपत्र प्रदान करता है।"
mode_of_training_hi.wav,hi,"M CAD Solutions ऑनलाइन और क्लासरूम दोनों तरह की ट्रेनिंग प्रदान करता है, जिससे छात्रों को अपनी सुविधा अनुसार चुनने की स्वतंत्रता मिलती है।"
contact_form_hi.wav,hi,आप हमारी वेबसाइट के कॉन्टैक्ट पेज पर जाकर अपनी जानकारी भरकर या +91 7030999500 पर कॉल करके एनरोल कर सकते हैं। किसी भी कोर्स में शामिल होने से पहले आप फ्री डेमो सेशन भी बुक कर सकते हैं।
