audio_file,lang,text
biw_course_mr.wav,mr,"BIW फिक्स्चर डिझाईन हा 3 महिन्यांचा नोकरी-केंद्रित डोमेन ट्रेनिंग प्रोग्राम आहे, ज्यामध्ये ऑटोमोटिव्ह बॉडी-इन-व्हाईट फिक्स्चर डिझाईन, 3D मॉडेलिंग, सिम्युलेशन, वेल्डिंग गन इंटिग्रेशन आणि GD&T ड्रॉईंग तयार करणे यांचा समावेश आहे. यात 100 लेक्चर्स आहेत, बॅच साईझ 5 विद्यार्थ्यांची आहे, आणि हा कोर्स BIW डिझाईन इंजिनिअर व फिक्स्चर डिझाईन स्पेशालिस्ट सारख्या भूमिकांकडे घेऊन जातो."
interior_plastic_course_mr.wav,mr,"हा 3 महिन्यांचा डोमेन ट्रेनिंग प्रोग्राम आहे ज्यात इंटीरियर ट्रिम डिझाईन, मटेरियल सिलेक्शन, इंजेक्शन मोल्डिंग आणि प्लास्टिक पार्ट्ससाठी DFM यांचा समावेश आहे. यात 90 लेक्चर्स, 5 विद्यार्थ्यांची बॅच, लाईव्ह OEM प्रोजेक्ट्स आहेत, आणि हा कोर्स इंटीरियर ट्रिम डिझाईन इंजिनिअर व प्लास्टिक कॉम्पोनंट डिझायनर सारख्या भूमिकांसाठी तयार करतो."
solidworks_course_mr.wav,mr,"SolidWorks कोर्स 1 महिन्याचा आहे, सर्व स्तरांसाठी योग्य आहे, आणि यात 60 लेक्चर्स आहेत जिथे SolidWorks सॉफ्टवेअर वापरून 3D मॉडेलिंग आणि डिझाईनची मूलतत्त्वे तज्ज्ञांकडून शिकवली जातात."
ugnx_course_mr.wav,mr,"UG NX कोर्स 1 महिन्याचा आहे, सर्व स्तरांसाठी योग्य आहे, यात 60 लेक्चर्स आहेत आणि मेकॅनिकल डिझाईनमध्ये वापरल्या जाणाऱ्या UG NX CAD प्लॅटफॉर्मवर प्रात्यक्षिक प्रशिक्षण दिले जाते."
industry4_program_mr.wav,mr,"हा भारतातील पहिला ROS2-आधारित डिजिटल ट्विन रोबोटिक्स ट्रेनिंग प्रोग्राम आहे. यात सिम्युलेशन-फर्स्ट पद्धत वापरली जाते, ज्यात ROS2 चे मूलतत्त्वे, मोबाईल रोबोट मोशन, आणि 6-DOF इंडस्ट्रियल रोबोटिक आर्म ट्रेनिंग यांचा समावेश आहे, कोणत्याही प्रत्यक्ष हार्डवेअर इंटिग्रेशनशिवाय, जेणेकरून विद्यार्थी सुरक्षितपणे रोबोटिक्सची मूलतत्त्वे शिकू शकतील जी उद्योगातील कोणत्याही रोबोटला लागू होतात."
placement_rate_mr.wav,mr,"M CAD Solutions चा प्लेसमेंट रेट 98% आहे, 5000 हून अधिक विद्यार्थ्यांना प्रशिक्षण देऊन प्लेस करण्यात आले आहे, आणि ऑटोमोटिव्ह व मॅन्युफॅक्चरिंग क्षेत्रात 150-200+ पार्टनर कंपन्यांचे नेटवर्क आहे."
placement_partners_mr.wav,mr,"पार्टनर कंपन्यांमध्ये Mahindra, Tata Technologies, L&T Technology Services, Kohler, Robtech Automation, Rheomold, Faith Automation, DIFACTO Robotics आणि ऑटोमोटिव्ह व मॅन्युफॅक्चरिंग क्षेत्रातील अनेक कंपन्यांचा समावेश आहे."
placement_process_mr.wav,mr,"प्लेसमेंट प्रक्रियेत 6 पायऱ्या आहेत: प्रोफाइल बिल्डिंग (रिज्युमे/पोर्टफोलिओ), स्किल असेसमेंट, मॉक इंटरव्ह्यूसह इंटरव्ह्यू तयारी, पार्टनर कंपन्यांशी संपर्क, प्लेसमेंट ड्राईव्ह, आणि प्लेसमेंटनंतर करिअर ग्रोथ सपोर्ट."
why_choose_mr.wav,mr,"M CAD Solutions 15+ वर्षांचा उद्योग अनुभव, प्लेसमेंट सपोर्टसह नोकरी-केंद्रित कोर्सेस, प्रोजेक्ट-आधारित प्रशिक्षण, लहान बॅच साईझ, सेशन रेकॉर्डिंग्जना लाईफटाईम अ‍ॅक्सेस, आणि 98% प्लेसमेंट रेटसह सिद्ध ट्रॅक रेकॉर्ड देते."
batch_size_mr.wav,mr,"BIW फिक्स्चर डिझाईन आणि ऑटोमोटिव्ह इंटीरियर प्लास्टिक ट्रिम्स सारख्या डोमेन ट्रेनिंग प्रोग्राम्समध्ये फक्त 5 विद्यार्थ्यांची बॅच साईझ असते, ज्यामुळे वैयक्तिक लक्ष दिले जाते."
certificate_mr.wav,mr,"होय, M CAD Solutions त्यांच्या सर्व CAD आणि डोमेन ट्रेनिंग कोर्सेससाठी इंडस्ट्री-मान्यताप्राप्त पूर्णता प्रमाणपत्र देते."
mode_of_training_mr.wav,mr,"M CAD Solutions ऑनलाइन आणि क्लासरूम अशा दोन्ही प्रकारच्या प्रशिक्षण पद्धती देते, ज्यामुळे विद्यार्थ्यांना त्यांच्या सोयीनुसार निवड करण्याचे स्वातंत्र्य मिळते."
contact_form_mr.wav,mr,तुम्ही आमच्या वेबसाईटवरील कॉन्टॅक्ट पेजवर जाऊन तुमची माहिती भरून किंवा +91 7030999500 वर कॉल करून एनरोल करू शकता. कोणत्याही कोर्समध्ये सामील होण्यापूर्वी तुम्ही फ्री डेमो सेशनही बुक करू शकता.
