lang,topic,question,answer,keywords,audio_file
hi,bye,अलविदा!,"आपसे बात करके अच्छा लगा! अधिक जानकारी के लिए +91 7030999500 पर संपर्क करें या कर्वेनगर, पुणे स्थित हमारे इंस्टीट्यूट में आएं। आपके इंजीनियरिंग करियर के लिए शुभकामनाएं!",!अलविदा|!बाय|!ओके बाय|!चलते हैं|!टाटा,bye_hi.wav
mr,bye,निघतो निघते!,"तुमच्याशी बोलून आनंद झाला! अधिक माहितीसाठी +91 7030999500 वर संपर्क करा किंवा कर्वेनगर, पुणे येथील आमच्या इन्स्टिट्यूटला भेट द्या. तुमच्या इंजिनिअरिंग करिअरसाठी शुभेच्छा!",!निघतो|!निघते|!बाय|!टाटा|!जातो|!जाते,bye_mr.wav
en,full_name,What is the full name of M CAD Solutions?,"The full name is M CAD Solutions, a leading mechanical design and placement-focused training institute located in Karvenagar, Pune, specializing in BIW Fixture Design, Plastic Product Design, Robotics, and Digital Twin technologies.",!full name|!what does mcad stand for|!full form of mcad|!about the institute|!what is mcad solutions,full_name_en.wav
hi,full_name,M CAD Solutions का पूरा नाम क्या है?,"पूरा नाम M CAD Solutions है, जो पुणे के कर्वेनगर में स्थित एक प्रमुख मैकेनिकल डिज़ाइन और प्लेसमेंट-केंद्रित ट्रेनिंग इंस्टीट्यूट है, जो BIW फिक्सचर डिज़ाइन, प्लास्टिक प्रोडक्ट डिज़ाइन, रोबोटिक्स और डिजिटल ट्विन तकनीकों में विशेषज्ञ है।",!पूरा नाम|!पूर्ण नाम|!संस्थान के बारे में|!mcad क्या है,full_name_hi.wav
mr,full_name,M CAD Solutions चे पूर्ण नाव काय आहे?,"पूर्ण नाव M CAD Solutions आहे, कर्वेनगर, पुणे येथील एक आघाडीचे मेकॅनिकल डिझाईन आणि प्लेसमेंट-केंद्रित ट्रेनिंग इन्स्टिट्यूट, जे BIW फिक्स्चर डिझाईन, प्लास्टिक प्रॉडक्ट डिझाईन, रोबोटिक्स आणि डिजिटल ट्विन तंत्रज्ञानामध्ये तज्ज्ञ आहे.",!पूर्ण नाव|!संस्थेबद्दल|!mcad म्हणजे काय|!एम कॅड चे फुल फॉर्म|!फुल फॉर्म|!फुलफॉर्म|!mcad चे नाव|!full form,full_name_mr.wav
en,history,When was M CAD Solutions founded? Who founded it?,M CAD Solutions was founded in 2017 by Mr. Manoj Potdar with a vision to provide job-oriented mechanical design education. The institute trained its first batch in 2018 with a 95% placement success rate and was recognized as the Best CAD Training Institute in Pune in 2020.,!when was mcad founded|!history of mcad|!founded in|!establishment year|!mcad solutions history,history_en.wav
hi,history,M CAD Solutions की स्थापना कब हुई? किसने की?,"M CAD Solutions की स्थापना 2017 में श्री मनोज पोतदार ने की थी, जिसका उद्देश्य नौकरी-उन्मुख मैकेनिकल डिज़ाइन शिक्षा प्रदान करना था। पहला बैच 2018 में 95% प्लेसमेंट सफलता दर के साथ पूरा हुआ, और 2020 में इसे पुणे का सर्वश्रेष्ठ CAD ट्रेनिंग इंस्टीट्यूट घोषित किया गया।",!स्थापना कब हुई|!इतिहास|!कब बनी|!किसने बनाई,history_hi.wav
mr,history,M CAD Solutions ची स्थापना कधी झाली? कोणी केली?,"M CAD Solutions ची स्थापना 2017 मध्ये श्री. मनोज पोतदार यांनी केली, नोकरी-केंद्रित मेकॅनिकल डिझाईन शिक्षण देण्याच्या उद्देशाने. 2018 मध्ये पहिली बॅच 95% प्लेसमेंट यशासह पूर्ण झाली आणि 2020 मध्ये पुण्यातील सर्वोत्तम CAD ट्रेनिंग इन्स्टिट्यूट म्हणून गौरवण्यात आले.",!स्थापना कधी झाली|!इतिहास|!कोणी सुरू केले|!स्थापना|!कधी सुरु|!कधी चालू|!स्थापना वर्ष|!mcad कधी बनी,history_mr.wav
en,founder,Who is the founder of M CAD Solutions?,"M CAD Solutions was founded by Mr. Manoj Potdar, who is also a BIW Fixture Design expert with over 15 years of industry experience and serves as the Founder and CEO.",!founder|!who founded mcad|!ceo of mcad|!manoj potdar|!owner of mcad solutions,founder_en.wav
hi,founder,M CAD Solutions के संस्थापक कौन हैं?,"M CAD Solutions के संस्थापक श्री मनोज पोतदार हैं, जो 15 वर्षों से अधिक के उद्योग अनुभव वाले BIW फिक्सचर डिज़ाइन विशेषज्ञ हैं और फाउंडर एवं CEO के रूप में कार्यरत हैं।",!संस्थापक कौन है|!मालिक कौन है|!सीईओ कौन है|!मनोज पोतदार,founder_hi.wav
mr,founder,M CAD Solutions चे संस्थापक कोण आहेत?,"M CAD Solutions चे संस्थापक श्री. मनोज पोतदार आहेत, जे 15+ वर्षांचा उद्योग अनुभव असलेले BIW फिक्स्चर डिझाईन तज्ज्ञ आहेत आणि फाउंडर व CEO म्हणून कार्यरत आहेत.",!संस्थापक कोण|!मालक कोण|!सीईओ कोण|!मनोज पोतदार|!संस्थापक|!फाउंडर|!ओनर,founder_mr.wav
en,location,Where is M CAD Solutions located?,"M CAD Solutions is located on the 1st floor of the FMCIII Building, Marathwada Mitra Mandal College of Engineering Road, above Kuka Robotics Lab, Hingane Home Colony, Karvenagar, Pune, Maharashtra 411052.",!address|!where is mcad|!full address|!location of mcad|!how do i reach|!directions to mcad,location_en.wav
hi,location,M CAD Solutions कहाँ स्थित है?,"M CAD Solutions पहली मंज़िल, FMCIII बिल्डिंग, मराठवाड़ा मित्र मंडल कॉलेज ऑफ इंजीनियरिंग रोड, कुका रोबोटिक्स लैब के ऊपर, हिंगणे होम कॉलोनी, कर्वेनगर, पुणे, महाराष्ट्र 411052 में स्थित है।",!पता|!पूरा पता|!कहाँ स्थित है|!एड्रेस,location_hi.wav
mr,location,M CAD Solutions कुठे आहे?,"M CAD Solutions पहिला मजला, FMCIII बिल्डिंग, मराठवाडा मित्र मंडळ कॉलेज ऑफ इंजिनिअरिंग रोड, कुका रोबोटिक्स लॅबच्या वर, हिंगणे होम कॉलनी, कर्वेनगर, पुणे, महाराष्ट्र 411052 येथे स्थित आहे.",!पत्ता|!पूर्ण पत्ता|!कुठे आहे|!एड्रेस|!लोकेशन|!पत्ता सांगा|!कुठे स्थित|!कर्वेनगर मध्ये कुठे,location_mr.wav
en,phone,What is the contact number of M CAD Solutions?,You can reach M CAD Solutions at +91 7030999500 or +91 9096708490.,!phone number|!contact number|!what is the number|!call you|!mobile number,phone_en.wav
hi,phone,M CAD Solutions का संपर्क नंबर क्या है?,आप M CAD Solutions से +91 7030999500 या +91 9096708490 पर संपर्क कर सकते हैं।,!फोन नंबर|!संपर्क नंबर|!नंबर क्या है|!मोबाइल नंबर,phone_hi.wav
mr,phone,M CAD Solutions चा संपर्क क्रमांक काय आहे?,तुम्ही M CAD Solutions शी +91 7030999500 किंवा +91 9096708490 वर संपर्क साधू शकता.,!फोन नंबर|!संपर्क क्रमांक|!नंबर काय आहे|!मोबाईल नंबर|!संपर्क नंबर|!संपर्क करण्यासाठी,phone_mr.wav
en,email,What is the email address of M CAD Solutions?,You can email M CAD Solutions at info@mcadsolution.com or support@mcadsolution.com.,!email address|!email id|!mail id|!contact email,email_en.wav
hi,email,M CAD Solutions का ईमेल क्या है?,आप info@mcadsolution.com या support@mcadsolution.com पर ईमेल कर सकते हैं।,!ईमेल क्या है|!ईमेल आईडी|!मेल आईडी,email_hi.wav
mr,email,M CAD Solutions चा ईमेल काय आहे?,तुम्ही info@mcadsolution.com किंवा support@mcadsolution.com वर ईमेल करू शकता.,!ईमेल काय आहे|!ईमेल आयडी|!मेल आयडी,email_mr.wav
en,timings,What are the working hours of M CAD Solutions?,M CAD Solutions is open Monday to Saturday from 9:00 AM to 9:00 PM. It remains closed on Sundays. Our support team is available 24/7 for queries.,!working hours|!timings|!opening hours|!when are you open|!office hours,timings_en.wav
hi,timings,M CAD Solutions के कार्य समय क्या हैं?,M CAD Solutions सोमवार से शनिवार सुबह 9:00 बजे से रात 9:00 बजे तक खुला रहता है। रविवार को बंद रहता है। हमारी सपोर्ट टीम प्रश्नों के लिए 24/7 उपलब्ध है।,!कार्य समय|!खुलने का समय|!कब खुला रहता है|!ऑफिस टाइम,timings_hi.wav
mr,timings,M CAD Solutions चे कामाचे तास काय आहेत?,M CAD Solutions सोमवार ते शनिवार सकाळी 9:00 ते रात्री 9:00 पर्यंत सुरू असते. रविवारी बंद असते. आमची सपोर्ट टीम प्रश्नांसाठी 24/7 उपलब्ध आहे.,!कामाचे तास|!उघडण्याची वेळ|!कधी उघडे असते|!ऑफिस टाईम|!टाइमिंग|!ऑफिस टाइमिंग|!वेळ काय आहे|!सकाळी किती वाजता,timings_mr.wav
en,courses_offered,What courses does M CAD Solutions offer?,"M CAD Solutions offers CAD courses like CATIA V5, SolidWorks, and UG NX, along with domain training programs such as BIW Fixture Design, Automotive Interior Plastic Trims, Robotics & Automation Simulation, and Digital Twin & Automation Design (Industry 4.0/5.0).",!what courses do you offer|!list of courses|!courses available|!which courses|!training programs offered,courses_offered_en.wav
hi,courses_offered,M CAD Solutions कौन-कौन से कोर्स प्रदान करता है?,"M CAD Solutions CATIA V5, SolidWorks, और UG NX जैसे CAD कोर्स के साथ-साथ BIW फिक्सचर डिज़ाइन, ऑटोमोटिव इंटीरियर प्लास्टिक ट्रिम्स, रोबोटिक्स एंड ऑटोमेशन सिमुलेशन, और डिजिटल ट्विन एंड ऑटोमेशन डिज़ाइन (इंडस्ट्री 4.0/5.0) जैसे डोमेन ट्रेनिंग प्रोग्राम भी प्रदान करता है।",!कौन से कोर्स हैं|!कोर्स की सूची|!उपलब्ध कोर्स|!कौन कौन से कोर्स,courses_offered_hi.wav
mr,courses_offered,M CAD Solutions कोणकोणते कोर्सेस देते?,"M CAD Solutions CATIA V5, SolidWorks आणि UG NX सारखे CAD कोर्सेस, तसेच BIW फिक्स्चर डिझाईन, ऑटोमोटिव्ह इंटीरियर प्लास्टिक ट्रिम्स, रोबोटिक्स अँड ऑटोमेशन सिम्युलेशन आणि डिजिटल ट्विन अँड ऑटोमेशन डिझाईन (इंडस्ट्री 4.0/5.0) असे डोमेन ट्रेनिंग प्रोग्राम्स देखील देते.",!कोणते कोर्सेस आहेत|!कोर्सेसची यादी|!उपलब्ध कोर्सेस|!कोणकोणते कोर्स|!काय काय शिकवले|!काय शिकवतात|!कोर्स कोणते आहेत,courses_offered_mr.wav
en,catia_course,Tell me about the CATIA V5 course.,"CATIA V5 is a CAD software by Dassault Systemes, widely used in automotive and aerospace design. The course runs for 3-6 months with a batch size of 10-15 students, covers foundation, part design, assembly design, surface design, and drafting modules, and includes industry-recognized certification.",!catia v5 course|!catia course details|!catia v5 duration|!catia v5 syllabus|!learn catia,catia_course_en.wav
hi,catia_course,CATIA V5 कोर्स के बारे में बताएं।,"CATIA V5 Dassault Systemes का CAD सॉफ्टवेयर है, जो ऑटोमोटिव और एयरोस्पेस डिज़ाइन में व्यापक रूप से उपयोग होता है। यह कोर्स 3-6 महीने का है, बैच साइज़ 10-15 छात्रों का है, इसमें फाउंडेशन, पार्ट डिज़ाइन, असेंबली डिज़ाइन, सरफेस डिज़ाइन और ड्राफ्टिंग मॉड्यूल शामिल हैं, और अंत में इंडस्ट्री-मान्यता प्राप्त सर्टिफिकेट मिलता है।",!catia v5 कोर्स|!catia की जानकारी|!catia v5 अवधि|!catia v5 सिलेबस,catia_course_hi.wav
mr,catia_course,CATIA V5 कोर्सबद्दल सांगा.,"CATIA V5 हे Dassault Systemes चे CAD सॉफ्टवेअर आहे, जे ऑटोमोटिव्ह आणि एरोस्पेस डिझाईनमध्ये मोठ्या प्रमाणात वापरले जाते. हा कोर्स 3-6 महिन्यांचा असून बॅच साईझ 10-15 विद्यार्थ्यांची आहे, यात फाउंडेशन, पार्ट डिझाईन, असेंब्ली डिझाईन, सरफेस डिझाईन आणि ड्राफ्टिंग मॉड्यूल्सचा समावेश आहे, आणि शेवटी इंडस्ट्री-मान्यताप्राप्त सर्टिफिकेट मिळते.",!catia v5 कोर्स|!catia ची माहिती|!catia v5 कालावधी|!catia v5 अभ्यासक्रम|!कॅटिया|!कॅटिया व्ही ५|!कॅटिया मध्ये काय,catia_course_mr.wav
en,biw_course,What is the BIW Fixture Design course about?,"BIW Fixture Design is a 3-month, job-oriented domain training program covering automotive Body-in-White fixture design, 3D modeling, simulation, welding gun integration, and GD&T drawing creation. It has 100 lectures, a batch size of 5 students, and leads to roles like BIW Design Engineer and Fixture Design Specialist.",!biw fixture design course|!biw course details|!biw duration|!biw syllabus|!what is biw,biw_course_en.wav
hi,biw_course,BIW फिक्सचर डिज़ाइन कोर्स क्या है?,"BIW फिक्सचर डिज़ाइन 3 महीने का नौकरी-उन्मुख डोमेन ट्रेनिंग प्रोग्राम है, जिसमें ऑटोमोटिव बॉडी-इन-व्हाइट फिक्सचर डिज़ाइन, 3D मॉडलिंग, सिमुलेशन, वेल्डिंग गन इंटीग्रेशन और GD&T ड्रॉइंग बनाना शामिल है। इसमें 100 लेक्चर हैं, बैच साइज़ 5 छात्रों का है, और यह BIW डिज़ाइन इंजीनियर व फिक्सचर डिज़ाइन स्पेशलिस्ट जैसी भूमिकाओं की ओर ले जाता है।",!biw फिक्सचर कोर्स|!biw की जानकारी|!biw अवधि|!biw क्या है,biw_course_hi.wav
mr,biw_course,BIW फिक्स्चर डिझाईन कोर्स म्हणजे काय?,"BIW फिक्स्चर डिझाईन हा 3 महिन्यांचा नोकरी-केंद्रित डोमेन ट्रेनिंग प्रोग्राम आहे, ज्यामध्ये ऑटोमोटिव्ह बॉडी-इन-व्हाईट फिक्स्चर डिझाईन, 3D मॉडेलिंग, सिम्युलेशन, वेल्डिंग गन इंटिग्रेशन आणि GD&T ड्रॉईंग तयार करणे यांचा समावेश आहे. यात 100 लेक्चर्स आहेत, बॅच साईझ 5 विद्यार्थ्यांची आहे, आणि हा कोर्स BIW डिझाईन इंजिनिअर व फिक्स्चर डिझाईन स्पेशालिस्ट सारख्या भूमिकांकडे घेऊन जातो.",!biw फिक्स्चर कोर्स|!biw ची माहिती|!biw कालावधी|!biw म्हणजे काय|!बीआयडब्ल्यू|!फिक्स्चर डिझाईन|!biw मध्ये काय,biw_course_mr.wav
en,interior_plastic_course,What is the Automotive Interior Plastic Trims course about?,"This is a 3-month domain training program covering interior trim design, material selection, injection molding, and DFM for plastic parts. It has 90 lectures, a batch of 5 students, live OEM projects, and prepares you for roles like Interior Trim Design Engineer and Plastic Component Designer.",!interior plastic trims course|!plastic trim design course|!interior trim duration|!plastic component design course,interior_plastic_course_en.wav
hi,interior_plastic_course,ऑटोमोटिव इंटीरियर प्लास्टिक ट्रिम्स कोर्स क्या है?,"यह 3 महीने का डोमेन ट्रेनिंग प्रोग्राम है जिसमें इंटीरियर ट्रिम डिज़ाइन, मटीरियल सिलेक्शन, इंजेक्शन मोल्डिंग और प्लास्टिक पार्ट्स के लिए DFM शामिल है। इसमें 90 लेक्चर, 5 छात्रों का बैच, लाइव OEM प्रोजेक्ट्स हैं, और यह इंटीरियर ट्रिम डिज़ाइन इंजीनियर व प्लास्टिक कंपोनेंट डिज़ाइनर जैसी भूमिकाओं के लिए तैयार करता है।",!इंटीरियर प्लास्टिक कोर्स|!प्लास्टिक ट्रिम कोर्स|!इंटीरियर ट्रिम अवधि,interior_plastic_course_hi.wav
mr,interior_plastic_course,ऑटोमोटिव्ह इंटीरियर प्लास्टिक ट्रिम्स कोर्स म्हणजे काय?,"हा 3 महिन्यांचा डोमेन ट्रेनिंग प्रोग्राम आहे ज्यात इंटीरियर ट्रिम डिझाईन, मटेरियल सिलेक्शन, इंजेक्शन मोल्डिंग आणि प्लास्टिक पार्ट्ससाठी DFM यांचा समावेश आहे. यात 90 लेक्चर्स, 5 विद्यार्थ्यांची बॅच, लाईव्ह OEM प्रोजेक्ट्स आहेत, आणि हा कोर्स इंटीरियर ट्रिम डिझाईन इंजिनिअर व प्लास्टिक कॉम्पोनंट डिझायनर सारख्या भूमिकांसाठी तयार करतो.",!इंटीरियर प्लास्टिक कोर्स|!प्लास्टिक ट्रिम कोर्स|!इंटीरियर ट्रिम कालावधी,interior_plastic_course_mr.wav
en,solidworks_course,Tell me about the SolidWorks course.,"The SolidWorks course runs for 1 month, is suitable for all levels, and includes 60 lectures with expert-led instruction covering 3D modeling and design fundamentals using SolidWorks software.",!solidworks course|!solidworks duration|!learn solidworks|!solidworks syllabus,solidworks_course_en.wav
hi,solidworks_course,SolidWorks कोर्स के बारे में बताएं।,"SolidWorks कोर्स 1 महीने का है, सभी स्तरों के लिए उपयुक्त है, और इसमें 60 लेक्चर हैं जो SolidWorks सॉफ्टवेयर का उपयोग करके 3D मॉडलिंग और डिज़ाइन की बुनियादी बातें विशेषज्ञों द्वारा सिखाई जाती हैं।",!solidworks कोर्स|!solidworks अवधि|!solidworks सीखें,solidworks_course_hi.wav
mr,solidworks_course,SolidWorks कोर्सबद्दल सांगा.,"SolidWorks कोर्स 1 महिन्याचा आहे, सर्व स्तरांसाठी योग्य आहे, आणि यात 60 लेक्चर्स आहेत जिथे SolidWorks सॉफ्टवेअर वापरून 3D मॉडेलिंग आणि डिझाईनची मूलतत्त्वे तज्ज्ञांकडून शिकवली जातात.",!solidworks कोर्स|!solidworks कालावधी|!solidworks शिका|!सॉलिडवर्क्स|!सॉलिड वर्क्स|!सॉलिडवर्क्स कधी,solidworks_course_mr.wav
en,ugnx_course,Tell me about the UG NX course.,"The UG NX course runs for 1 month, is suitable for all levels, includes 60 lectures with practical training on the UG NX CAD platform used in mechanical design.",!ug nx course|!ugnx duration|!learn ug nx|!ugnx syllabus,ugnx_course_en.wav
hi,ugnx_course,UG NX कोर्स के बारे में बताएं।,"UG NX कोर्स 1 महीने का है, सभी स्तरों के लिए उपयुक्त है, इसमें 60 लेक्चर हैं और मैकेनिकल डिज़ाइन में उपयोग होने वाले UG NX CAD प्लेटफ़ॉर्म पर व्यावहारिक प्रशिक्षण दिया जाता है।",!ug nx कोर्स|!ugnx अवधि|!ug nx सीखें,ugnx_course_hi.wav
mr,ugnx_course,UG NX कोर्सबद्दल सांगा.,"UG NX कोर्स 1 महिन्याचा आहे, सर्व स्तरांसाठी योग्य आहे, यात 60 लेक्चर्स आहेत आणि मेकॅनिकल डिझाईनमध्ये वापरल्या जाणाऱ्या UG NX CAD प्लॅटफॉर्मवर प्रात्यक्षिक प्रशिक्षण दिले जाते.",!ug nx कोर्स|!ugnx कालावधी|!ug nx शिका|!युजी एनएक्स|!युजीएनएक्स|!युजी एनएक्स काय आहे,ugnx_course_mr.wav
en,industry4_program,What is the Industry 4.0 ROS2 Digital Twin program?,"It's India's first ROS2-based Digital Twin robotics training program. It follows a simulation-first approach covering ROS2 foundations, mobile robot motion, and 6-DOF industrial robotic arm training, without any real hardware integration, so learners can safely master robotics fundamentals that apply to any robot in industry.",!industry 4.0 program|!ros2 course|!digital twin training|!robotics course|!ros2 digital twin,industry4_program_en.wav
hi,industry4_program,इंडस्ट्री 4.0 ROS2 डिजिटल ट्विन प्रोग्राम क्या है?,"यह भारत का पहला ROS2-आधारित डिजिटल ट्विन रोबोटिक्स ट्रेनिंग प्रोग्राम है। इसमें सिमुलेशन-फर्स्ट अप्रोच अपनाया गया है, जिसमें ROS2 की बुनियादी बातें, मोबाइल रोबोट मोशन, और 6-DOF इंडस्ट्रियल रोबोटिक आर्म ट्रेनिंग शामिल है, बिना किसी वास्तविक हार्डवेयर इंटीग्रेशन के, ताकि छात्र सुरक्षित रूप से रोबोटिक्स की बुनियादी बातें सीख सकें जो उद्योग के किसी भी रोबोट पर लागू होती हैं।",!इंडस्ट्री 4.0 प्रोग्राम|!ros2 कोर्स|!डिजिटल ट्विन ट्रेनिंग|!रोबोटिक्स कोर्स,industry4_program_hi.wav
mr,industry4_program,Industry 4.0 ROS2 Digital Twin program म्हणजे काय?,"हा भारतातील पहिला ROS2-आधारित डिजिटल ट्विन रोबोटिक्स ट्रेनिंग प्रोग्राम आहे. यात सिम्युलेशन-फर्स्ट पद्धत वापरली जाते, ज्यात ROS2 चे मूलतत्त्वे, मोबाईल रोबोट मोशन, आणि 6-DOF इंडस्ट्रियल रोबोटिक आर्म ट्रेनिंग यांचा समावेश आहे, कोणत्याही प्रत्यक्ष हार्डवेअर इंटिग्रेशनशिवाय, जेणेकरून विद्यार्थी सुरक्षितपणे रोबोटिक्सची मूलतत्त्वे शिकू शकतील जी उद्योगातील कोणत्याही रोबोटला लागू होतात.",!इंडस्ट्री 4.0 प्रोग्राम|!ros2 कोर्स|!डिजिटल ट्विन ट्रेनिंग|!रोबोटिक्स कोर्स|!आरओएस २|!डिजिटल ट्विन|!रोबोटिक्स माहिती,industry4_program_mr.wav
en,placement_rate,What is the placement rate at M CAD Solutions?,"M CAD Solutions has a 98% placement rate, with over 5000 students trained and placed, and a network of 150-200+ partner companies in the automotive and manufacturing sectors.",!placement rate|!placement percentage|!how many placed|!placement record,placement_rate_en.wav
hi,placement_rate,M CAD Solutions की प्लेसमेंट दर क्या है?,"M CAD Solutions की प्लेसमेंट दर 98% है, 5000 से अधिक छात्रों को प्रशिक्षित और प्लेस किया जा चुका है, और ऑटोमोटिव व मैन्युफैक्चरिंग सेक्टर में 150-200+ पार्टनर कंपनियों का नेटवर्क है।",!प्लेसमेंट दर|!प्लेसमेंट प्रतिशत|!कितने प्लेस हुए,placement_rate_hi.wav
mr,placement_rate,M CAD Solutions चा प्लेसमेंट रेट किती आहे?,"M CAD Solutions चा प्लेसमेंट रेट 98% आहे, 5000 हून अधिक विद्यार्थ्यांना प्रशिक्षण देऊन प्लेस करण्यात आले आहे, आणि ऑटोमोटिव्ह व मॅन्युफॅक्चरिंग क्षेत्रात 150-200+ पार्टनर कंपन्यांचे नेटवर्क आहे.",!प्लेसमेंट रेट|!प्लेसमेंट टक्केवारी|!किती जण प्लेस झाले|!प्लेसमेंटचे प्रमाण|!किती टक्के|!प्लेसमेंट गॅरंटी|!सक्सेस रेट|!जॉब मिळतो,placement_rate_mr.wav
en,placement_partners,Which companies hire from M CAD Solutions?,"Partner companies include Mahindra, Tata Technologies, L&T Technology Services, Kohler, Robtech Automation, Rheomold, Faith Automation, DIFACTO Robotics, and many more across automotive and manufacturing sectors.",!which companies hire|!partner companies|!recruiting companies|!placement companies list,placement_partners_en.wav
hi,placement_partners,M CAD Solutions से किन कंपनियों में प्लेसमेंट होता है?,"पार्टनर कंपनियों में Mahindra, Tata Technologies, L&T Technology Services, Kohler, Robtech Automation, Rheomold, Faith Automation, DIFACTO Robotics और ऑटोमोटिव व मैन्युफैक्चरिंग सेक्टर की कई अन्य कंपनियां शामिल हैं।",!कौन सी कंपनियां|!पार्टनर कंपनियां|!भर्ती करने वाली कंपनियां,placement_partners_hi.wav
mr,placement_partners,M CAD Solutions मधून कोणत्या कंपन्यांमध्ये प्लेसमेंट होते?,"पार्टनर कंपन्यांमध्ये Mahindra, Tata Technologies, L&T Technology Services, Kohler, Robtech Automation, Rheomold, Faith Automation, DIFACTO Robotics आणि ऑटोमोटिव्ह व मॅन्युफॅक्चरिंग क्षेत्रातील अनेक कंपन्यांचा समावेश आहे.",!कोणत्या कंपन्या|!पार्टनर कंपन्या|!भरती करणाऱ्या कंपन्या|!कंपन्या येतात|!कुठल्या कंपन्या|!जॉबसाठी कंपन्या,placement_partners_mr.wav
en,placement_process,How does the placement process work?,"The placement process has 6 steps: profile building (resume/portfolio), skill assessment, interview preparation with mock interviews, company connect with partner firms, placement drives, and post-placement career growth support.",!placement process|!how does placement work|!placement steps|!placement support,placement_process_en.wav
hi,placement_process,प्लेसमेंट प्रक्रिया कैसे काम करती है?,"प्लेसमेंट प्रक्रिया में 6 चरण हैं: प्रोफ़ाइल बिल्डिंग (रिज्यूमे/पोर्टफोलियो), स्किल असेसमेंट, मॉक इंटरव्यू के साथ इंटरव्यू तैयारी, पार्टनर कंपनियों से कनेक्ट, प्लेसमेंट ड्राइव, और प्लेसमेंट के बाद करियर ग्रोथ सपोर्ट।",!प्लेसमेंट प्रक्रिया|!प्लेसमेंट कैसे होता है|!प्लेसमेंट स्टेप्स,placement_process_hi.wav
